,index,state,county,latitude,longitude
760,760,IN,Adams,40.7335705714,-84.9440958571
761,761,IN,Allen,41.0907367778,-85.0861727778
762,762,IN,Bartholomew,39.1955822,-85.8315828
763,763,IN,Benton,40.57943125,-87.306328375
764,764,IN,Blackford,40.4942835,-85.311033
765,765,IN,Boone,40.0205451667,-86.4832555
766,766,IN,Brown,39.2071403333,-86.2413336667
767,767,IN,Carroll,40.5648436667,-86.5430726667
768,768,IN,Cass,40.7742133,-86.2982982
769,769,IN,Clark,38.4364288421,-85.6851153158
770,770,IN,Clay,39.4418926364,-87.0971118182
771,771,IN,Clinton,40.3094197778,-86.5043535556
772,772,IN,Crawford,38.295334,-86.456817625
773,773,IN,Daviess,38.7500671667,-87.0779895
774,774,IN,De Kalb,41.396930375,-85.01250525
775,775,IN,Dearborn,39.1422333333,-84.9608816667
776,776,IN,Decatur,39.3138851667,-85.4481505
777,777,IN,Delaware,40.2082130714,-85.4040809286
778,778,IN,Dubois,38.345847,-86.8822463333
779,779,IN,Elkhart,41.6104356923,-85.8720363846
780,780,IN,Fayette,39.6333023333,-85.2043256667
781,781,IN,Floyd,38.321181,-85.9115325
782,782,IN,Fountain,40.107991,-87.208674125
783,783,IN,Franklin,39.4102411429,-85.0276175714
784,784,IN,Fulton,41.03022625,-86.223950625
785,785,IN,Gibson,38.3171043636,-87.5465295455
786,786,IN,Grant,40.4971904545,-85.6298842727
787,787,IN,Greene,39.0499625833,-86.9615379167
788,788,IN,Hamilton,40.0641167692,-86.0767932308
789,789,IN,Hancock,39.843372625,-85.769396875
790,790,IN,Harrison,38.2075945385,-86.1082081538
791,791,IN,Hendricks,39.7543529167,-86.5234274167
792,792,IN,Henry,39.9186531333,-85.4105326
793,793,IN,Howard,40.4527871111,-86.1318524444
794,794,IN,Huntington,40.836832,-85.4655936667
795,795,IN,Jackson,38.895933,-86.0824217778
796,796,IN,Jasper,41.068494,-87.1157186667
797,797,IN,Jay,40.4339331667,-85.037502
798,798,IN,Jefferson,38.816803,-85.4394346
799,799,IN,Jennings,38.982012875,-85.634451125
800,800,IN,Johnson,39.4736314444,-86.0817721111
801,801,IN,Knox,38.7383268333,-87.36024225
802,802,IN,Kosciusko,41.2348783125,-85.879243375
803,803,IN,La Porte,41.5266771538,-86.7413295385
804,804,IN,Lagrange,41.623878625,-85.37322875
805,805,IN,Lake,41.498674625,-87.3992400625
806,806,IN,Lawrence,38.8451031,-86.520717
807,807,IN,Madison,40.1427121176,-85.7184411176
808,808,IN,Marion,39.7859691639,-86.1422406393
809,809,IN,Marshall,41.3331985556,-86.2740204444
810,810,IN,Martin,38.7788486667,-86.8671903333
811,811,IN,Miami,40.7631471,-86.0572339
812,812,IN,Monroe,39.175124875,-86.53307175
813,813,IN,Montgomery,40.0502521765,-86.9144327647
814,814,IN,Morgan,39.5026861667,-86.4969221667
815,815,IN,Newton,40.9992665556,-87.3858445556
816,816,IN,Noble,41.3846112727,-85.4320807273
817,817,IN,Ohio,38.958134,-84.984085
818,818,IN,Orange,38.55186875,-86.52228275
819,819,IN,Owen,39.3436151667,-86.7759238333
820,820,IN,Parke,39.7556621111,-87.2492735556
821,821,IN,Perry,38.054826375,-86.63383875
822,822,IN,Pike,38.3688091667,-87.1875201667
823,823,IN,Porter,41.4586223,-87.0940228
824,824,IN,Posey,38.1079321667,-87.8275551667
825,825,IN,Pulaski,41.0440968,-86.6880346
826,826,IN,Putnam,39.702308,-86.845256375
827,827,IN,Randolph,40.1387985556,-85.0552565556
828,828,IN,Ripley,39.1223068182,-85.2362498182
829,829,IN,Rush,39.6424825,-85.485244625
830,830,IN,Scott,38.705128,-85.7188613333
831,831,IN,Shelby,39.562740125,-85.7881975
832,832,IN,Spencer,38.0491693333,-86.9783721333
833,833,IN,St Joseph,41.6430356129,-86.2770223226
834,834,IN,Starke,41.27792,-86.6501453333
835,835,IN,Steuben,41.6374235,-85.0214648333
836,836,IN,Sullivan,39.0898892727,-87.4223340909
837,837,IN,Switzerland,38.841555,-84.9787804
838,838,IN,Tippecanoe,40.3846363529,-86.8733263529
839,839,IN,Tipton,40.3159858333,-86.0602043333
840,840,IN,Union,39.607982,-84.927749
841,841,IN,Vanderburgh,37.9974812162,-87.5680958378
842,842,IN,Vermillion,39.8440383333,-87.4500338889
843,843,IN,Vigo,39.4510476087,-87.3799945217
844,844,IN,Wabash,40.8552738,-85.7812484
845,845,IN,Warren,40.304125,-87.40616975
846,846,IN,Warrick,38.092261625,-87.274052375
847,847,IN,Washington,38.550758,-86.1365776667
848,848,IN,Wayne,39.8565245,-85.0351094286
849,849,IN,Wells,40.72188625,-85.20949575
850,850,IN,White,40.7636612222,-86.835978
851,851,IN,Whitley,41.15462825,-85.49826675
852,852,KS,Allen,37.8678024286,-95.2851822857
853,853,KS,Anderson,38.2107148333,-95.2857976667
854,854,KS,Atchison,39.5027698333,-95.2984861667
855,855,KS,Barber,37.236921375,-98.624044125
856,856,KS,Barton,38.4739898571,-98.808558
