,State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
2682,TX,Reeves County,-0.076,1417.0,1659.0,108.0,3184.0,44.5,52.1,3.4
2683,TX,Refugio County,0.27,1830.0,1034.0,81.0,2945.0,62.1,35.1,2.7
2684,TX,Roberts County,0.917,524.0,20.0,6.0,550.0,95.3,3.6,1.1
2685,TX,Robertson County,0.351,4665.0,2203.0,142.0,7010.0,66.5,31.4,2.0
2686,TX,Rockwall County,0.474,28396.0,9633.0,1500.0,39529.0,71.8,24.4,3.8
2687,TX,Runnels County,0.741,3241.0,452.0,72.0,3765.0,86.1,12.0,1.9
2688,TX,Rusk County,0.566,14675.0,3935.0,384.0,18994.0,77.3,20.7,2.1
2689,TX,Sabine County,0.728,3992.0,614.0,36.0,4642.0,86.0,13.2,0.8
2690,TX,San Augustine County,0.48,2620.0,907.0,36.0,3563.0,73.5,25.5,1.0
2691,TX,San Jacinto County,0.584,8050.0,2034.0,221.0,10305.0,78.1,19.7,2.1
2692,TX,San Patricio County,0.24,13004.0,7825.0,684.0,21513.0,60.4,36.4,3.2
2693,TX,San Saba County,0.736,2025.0,293.0,36.0,2354.0,86.0,12.4,1.6
2694,TX,Schleicher County,0.579,819.0,209.0,26.0,1054.0,77.7,19.8,2.5
2695,TX,Scurry County,0.698,4403.0,733.0,125.0,5261.0,83.7,13.9,2.4
2696,TX,Shackelford County,0.848,1378.0,103.0,21.0,1502.0,91.7,6.9,1.4
2697,TX,Shelby County,0.596,7171.0,1757.0,144.0,9072.0,79.0,19.4,1.6
2698,TX,Sherman County,0.762,807.0,96.0,30.0,933.0,86.5,10.3,3.2
2699,TX,Smith County,0.439,58631.0,22128.0,2402.0,83161.0,70.5,26.6,2.9
