State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
arkansas,Scott County,0.616,2378.0,507.0,153.0,3038.0,78.3,16.7,5.1
arkansas,Searcy County,0.632,2955.0,601.0,172.0,3728.0,79.3,16.1,4.6
arkansas,Sebastian County,0.376,28769.0,12184.0,3166.0,44119.0,65.2,27.6,7.2
arkansas,Sevier County,0.483,3281.0,1075.0,214.0,4570.0,71.8,23.5,4.7
arkansas,Sharp County,0.5429999999999999,5405.0,1472.0,369.0,7246.0,74.6,20.3,5.1
arkansas,Stone County,0.519,4081.0,1189.0,298.0,5568.0,73.3,21.4,5.3
arkansas,Union County,0.276,10201.0,5667.0,565.0,16433.0,62.1,34.5,3.4
arkansas,Van Buren County,0.5389999999999999,5382.0,1547.0,187.0,7116.0,75.6,21.7,2.6
arkansas,Washington County,0.10199999999999995,40418.0,32296.0,6829.0,79543.0,50.8,40.6,8.6
arkansas,White County,0.568,21038.0,5157.0,1750.0,27945.0,75.3,18.5,6.2
arkansas,Woodruff County,0.08899999999999998,1344.0,1117.0,105.0,2566.0,52.4,43.5,4.1
arkansas,Yell County,0.48699999999999993,4600.0,1472.0,351.0,6423.0,71.6,22.9,5.3
california,Alameda County,-0.634,59384.0,300185.0,20448.0,380017.0,15.6,79.0,5.4
california,Alpine County,-0.18599999999999994,211.0,318.0,46.0,575.0,36.7,55.3,8.0
california,Amador County,0.264,6069.0,3420.0,560.0,10049.0,60.4,34.0,5.6
california,Butte County,0.05100000000000002,35354.0,31638.0,5307.0,72299.0,48.9,43.8,7.3
california,Calaveras County,0.22700000000000004,11064.0,6740.0,1225.0,19029.0,58.1,35.4,6.4
california,Colusa County,0.15,3425.0,2484.0,351.0,6260.0,54.7,39.7,5.6
california,Contra Costa County,-0.429,87211.0,231968.0,18118.0,337297.0,25.9,68.8,5.3
california,Del Norte County,0.17299999999999996,4370.0,2997.0,582.0,7949.0,55.0,37.7,7.3
california,El Dorado County,0.13299999999999998,37286.0,28026.0,4540.0,69852.0,53.4,40.1,6.5
california,Fresno County,-0.018000000000000044,79858.0,82863.0,7933.0,170654.0,46.8,48.6,4.6
california,Glenn County,0.301,3405.0,1766.0,269.0,5440.0,62.6,32.5,4.9
california,Humboldt County,-0.259,10883.0,19596.0,3157.0,33636.0,32.4,58.3,9.5
